,Title,Author,Age,Favorite,PublicDay,HashTag
162,신의 재래,홍무제,RATE_15,35943,SUNDAY,"판타지,2022지상최대공모전,차원이동,동양풍판타지,이능력배틀물,성장드라마"
163,샤인 스타,김현,ALL,68876,SUNDAY,"로맨스,성장드라마"
164,인생영화,희나리,RATE_15,16899,SUNDAY,"스릴러,타임슬립,서스펜스,복수극"
165,천치전능,김칸비,RATE_12,59980,SUNDAY,드라마
166,네 것이었던 것,아이아리,RATE_15,14322,SUNDAY,드라마
167,천년간 노려왔습니다,수빈,RATE_12,31416,SUNDAY,로맨스
168,패션쇼,로커8,ALL,17310,SUNDAY,드라마
169,어떤소란,케첩,RATE_12,34089,SUNDAY,"로맨스,캠퍼스로맨스"
170,그림자 잡기,최날,RATE_12,6964,SUNDAY,스릴러
171,홍 의관의 은밀한 비밀,유계진,RATE_12,56932,SUNDAY,"로맨스,성별반전,퓨전사극,소설원작"
172,집착광공 집사전락,마자,ALL,10355,SUNDAY,"개그,집착물"
173,프린키피아,버튼,ALL,4465,SUNDAY,판타지
174,김부장,박태준 만화회사,RATE_15,564295,TUESDAY,"액션,사이다,먼치킨,다크히어로,느와르"
175,내가 키운 S급들,seri,RATE_12,432095,TUESDAY,"판타지,회귀,헌터물,이능력배틀물,소년왕도물,먼치킨,소설원작"
176,마루는 강쥐,모죠,ALL,491127,TUESDAY,"개그,무해한,햇살캐,4차원,동물"
177,대학원 탈출일지,요다,ALL,183286,TUESDAY,"일상,하이퍼리얼리즘"
178,멸망 이후의 세계,S-Cynan,RATE_15,320185,TUESDAY,"판타지,레드아이스스튜디오,차원이동,아포칼립스,소설원작"
179,사신소년,류,RATE_15,626525,TUESDAY,"액션,이능력배틀물,소년왕도물,먼치킨"
180,한림체육관,혜성,RATE_15,385965,TUESDAY,"액션,블루스트링,슈퍼스트링,학원물,소년왕도물"
181,용사가 돌아왔다,나락,RATE_15,262530,TUESDAY,"액션,차원이동,아포칼립스,먼치킨,다크판타지"
182,사변괴담,강태진,RATE_15,72089,TUESDAY,"스릴러,역사물,좀비,빙의,괴담"
183,하루만 네가 되고 싶어,삼,RATE_15,706557,TUESDAY,"로맨스,최강자전,2019최강자전,직진남,이세계,역하렘,삼각관계,로판,두뇌싸움,구원서사,걸크러시"
184,천마는 평범하게 살 수 없다,철범,RATE_15,175650,TUESDAY,"판타지,소설원작"
185,집이 없어,와난,ALL,433086,TUESDAY,"드라마,오컬트,학원물,성장드라마"
186,하북팽가 막내아들,스튜디오M,RATE_15,111296,TUESDAY,"무협/사극,회귀,소년왕도물,소설원작"
187,시한부인 줄 알았어요!,혜용,RATE_15,310338,TUESDAY,"로맨스,햇살캐,로맨스코미디,궁중로맨스,계약연애,삼각관계,로판,소설원작"
188,포 더 퀸덤,로즈옹,RATE_18,81009,TUESDAY,"로맨스,고자극로맨스,혐관로맨스,성인웹툰"
189,삼국지톡,무적핑크,RATE_12,165382,TUESDAY,무협/사극
190,도태교실,황준호,RATE_18,43972,TUESDAY,"스릴러,복수극,성인웹툰"
191,궤짝,박태준 만화회사,RATE_15,62079,TUESDAY,스릴러
192,이섭의 연애,248,RATE_15,87523,TUESDAY,"로맨스,재벌,오피스로맨스,사내연애,까칠남,소설원작"
193,위아더좀비,이명재,RATE_12,212041,TUESDAY,"드라마,2020지상최대공모전,아포칼립스,좀비,감염,감성드라마"
194,초인의 게임,Two-zero,ALL,187020,TUESDAY,"판타지,히어로,헌터물,이능력배틀물,소설원작"
195,유사연애,여은,RATE_15,204607,TUESDAY,"로맨스,요즘핫한추천작,폭스남,고자극로맨스,2030연애,현실로맨스,오피스로맨스"
196,호랑이 들어와요,배세혁,ALL,269400,TUESDAY,판타지
197,성검전설,최다킬,RATE_15,14104,TUESDAY,"개그,2022지상최대공모전,고인물,사이다,먼치킨,다크히어로"
198,놓지마 정신줄 시즌3,신태훈,ALL,118815,TUESDAY,"개그,드라마&영화원작웹툰"
199,원주민 공포만화,원주민,RATE_15,296456,TUESDAY,"스릴러,괴담"
200,저 그런 인재 아닙니다,에몽,ALL,205700,TUESDAY,"판타지,세계관,이세계,다크히어로,소설원작"
201,올가미,해무리,RATE_15,502848,TUESDAY,"드라마,폭스남,집착물,고자극로맨스,혐관로맨스,인외존재,뱀파이어"
202,신입사원 김철수,스튜디오MW,RATE_15,21094,TUESDAY,"판타지,타임슬립,힐링,직업드라마,회귀,복수극,두뇌싸움,소설원작"
203,신과함께 돌아온 기사왕님,지대공마법소년,ALL,37006,TUESDAY,"개그,먼치킨,소설원작"
204,랜덤채팅의 그녀!,박은혁,RATE_15,571942,TUESDAY,"드라마,학원물"
205,시체기사 군터,마요너구리,RATE_15,71031,TUESDAY,"액션,인외존재,뱀파이어,다크판타지"
206,윌유메리미,마인드C,ALL,340590,TUESDAY,일상
207,거짓말의 뉘앙스,사즈,ALL,72807,TUESDAY,"드라마,2022지상최대공모전,후회물,하이퍼리얼리즘,인플루언서"
208,우리 집 고양이 보고 갈래?,삼태,RATE_15,132326,TUESDAY,"로맨스,요즘핫한추천작,2022지상최대공모전,무해한,회귀,캠퍼스로맨스,동물"
209,로잘린 보가트,삼월에,RATE_12,145921,TUESDAY,"로맨스,고자극로맨스,궁중로맨스,소설원작"
210,사표내고 이계에서 힐링합니다,덤보,ALL,62813,TUESDAY,"판타지,이세계,음식&요리,소설원작"
211,하우스키퍼,채용택,RATE_15,188403,TUESDAY,"판타지,슈퍼스트링,아포칼립스,sf,먼치킨,감염"
212,집착남주의 전부인이 되었습니다,하담,RATE_15,37534,TUESDAY,"로맨스,집착물,빙의,로판,소설원작"
213,빌런투킬,퓨핀,RATE_15,172117,TUESDAY,"판타지,피카레스크,사이다,이능력배틀물,소년왕도물,복수극"
214,빅맨,하하영,ALL,123290,TUESDAY,"스포츠,농구,스포츠성장"
215,짝사랑의 마침표,숭어,ALL,282844,TUESDAY,"로맨스,짝사랑,하이틴"
216,폭군의 심장을 쥐었다,아리,RATE_15,45469,TUESDAY,"로맨스,소설원작"
217,에이머,구동인,ALL,147676,TUESDAY,"판타지,두뇌싸움"
218,이상형,배사과,RATE_15,5933,TUESDAY,"드라마,하이퍼리얼리즘,삼각관계"
219,짐승의 꽃,하브린,RATE_15,79208,TUESDAY,"로맨스,고자극로맨스,2030연애,로판,소설원작"
220,연우의 순정,이솔,RATE_15,228770,TUESDAY,"감성,다정남,걸크러시"
